Budget,Days,Group_Size,Type,Luxury,Season,Destination
10000,3,4,Beach,Budget,Summer,Goa
15000,4,3,Beach,Moderate,Summer,Goa
20000,5,2,Beach,Luxury,Winter,Goa
18000,4,2,Beach,Moderate,Winter,Goa
12000,3,5,Beach,Budget,Monsoon,Goa

14000,4,3,Beach,Moderate,Summer,Pondicherry
9000,2,4,Beach,Budget,Summer,Pondicherry
16000,5,2,Beach,Luxury,Winter,Pondicherry
13000,3,3,Beach,Moderate,Monsoon,Pondicherry
11000,3,4,Beach,Budget,Winter,Pondicherry

17000,4,2,Beach,Moderate,Winter,Gokarna
8000,2,5,Beach,Budget,Summer,Gokarna
19000,5,2,Beach,Luxury,Summer,Gokarna
15000,4,3,Beach,Moderate,Monsoon,Gokarna
10000,3,4,Beach,Budget,Winter,Gokarna

25000,6,2,Beach,Luxury,Summer,Andaman and Nicobar Islands
22000,5,2,Beach,Luxury,Winter,Andaman and Nicobar Islands
20000,5,3,Beach,Moderate,Summer,Andaman and Nicobar Islands
18000,4,3,Beach,Moderate,Winter,Andaman and Nicobar Islands
16000,4,4,Beach,Budget,Monsoon,Andaman and Nicobar Islands

12000,3,5,Beach,Budget,Monsoon,Kovalam
14000,4,3,Beach,Moderate,Summer,Kovalam
17000,5,2,Beach,Luxury,Winter,Kovalam
15000,4,3,Beach,Moderate,Winter,Kovalam
11000,3,4,Beach,Budget,Summer,Kovalam

20000,5,2,Hill,Luxury,Winter,Manali
18000,4,3,Hill,Moderate,Summer,Manali
15000,4,4,Hill,Moderate,Winter,Manali
12000,3,3,Hill,Budget,Monsoon,Manali
22000,6,2,Hill,Luxury,Winter,Manali

25000,7,2,Hill,Luxury,Winter,Shimla
20000,5,3,Hill,Moderate,Summer,Shimla
14000,3,3,Hill,Budget,Monsoon,Shimla
18000,5,2,Hill,Moderate,Winter,Shimla
16000,4,4,Hill,Moderate,Summer,Shimla

15000,4,5,City,Moderate,Summer,Mumbai
20000,5,3,City,Luxury,Winter,Mumbai
12000,3,4,City,Budget,Monsoon,Mumbai
17000,4,3,City,Moderate,Winter,Mumbai
22000,6,2,City,Luxury,Summer,Mumbai

22000,5,3,City,Luxury,Summer,Delhi
18000,4,4,City,Moderate,Winter,Delhi
13000,3,3,City,Budget,Monsoon,Delhi
25000,6,2,City,Luxury,Winter,Delhi
16000,4,3,City,Moderate,Summer,Delhi

10000,3,2,City,Budget,Winter,Jaipur
15000,4,4,City,Moderate,Summer,Jaipur
20000,5,2,City,Luxury,Winter,Jaipur
13000,3,3,City,Budget,Monsoon,Jaipur
17000,4,3,City,Moderate,Winter,Jaipur

18000,5,2,City,Luxury,Winter,Bangalore
14000,3,3,City,Budget,Summer,Bangalore
16000,4,4,City,Moderate,Monsoon,Bangalore
22000,6,2,City,Luxury,Summer,Bangalore
15000,4,3,City,Moderate,Winter,Bangalore

12000,3,3,Adventure,Budget,Monsoon,Rishikesh
15000,4,4,Adventure,Moderate,Summer,Rishikesh
20000,5,2,Adventure,Luxury,Winter,Rishikesh
17000,5,3,Adventure,Moderate,Winter,Rishikesh
14000,4,4,Adventure,Budget,Summer,Rishikesh

14000,4,4,Adventure,Moderate,Summer,Coorg
10000,3,3,Adventure,Budget,Monsoon,Coorg
18000,5,2,Adventure,Luxury,Winter,Coorg
16000,4,3,Adventure,Moderate,Winter,Coorg
13000,3,4,Adventure,Budget,Summer,Coorg

20000,5,2,Adventure,Luxury,Winter,Leh
22000,6,2,Adventure,Luxury,Summer,Leh
17000,5,3,Adventure,Moderate,Summer,Leh
15000,4,3,Adventure,Moderate,Winter,Leh
12000,3,3,Adventure,Budget,Monsoon,Leh

16000,5,2,Spiritual,Moderate,Winter,Amritsar
20000,6,2,Spiritual,Luxury,Summer,Amritsar
13000,3,3,Spiritual,Budget,Monsoon,Amritsar
17000,4,3,Spiritual,Moderate,Winter,Amritsar
15000,4,4,Spiritual,Budget,Summer,Amritsar

18000,6,4,Spiritual,Luxury,Summer,Varanasi
15000,4,3,Spiritual,Moderate,Winter,Varanasi
12000,3,3,Spiritual,Budget,Monsoon,Varanasi
20000,5,2,Spiritual,Luxury,Winter,Varanasi
16000,4,3,Spiritual,Moderate,Summer,Varanasi

10000,3,3,Spiritual,Budget,Monsoon,Haridwar
14000,4,4,Spiritual,Moderate,Summer,Haridwar
17000,5,2,Spiritual,Luxury,Winter,Haridwar
15000,4,3,Spiritual,Moderate,Winter,Haridwar
12000,3,4,Spiritual,Budget,Summer,Haridwar
